	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_names
ENSMUSG00000047746.14	20.3075523700606	-1.77442972054815	0.225203629107541	-7.87922347246372	3.29421870661434e-15	5.98098348372899e-11	Fbxo40
ENSMUSG00000078942.10	124.710008032066	-1.09502342339955	0.159759634929238	-6.85419332539512	7.17160422714933e-12	3.25519115870308e-08	Naip6
ENSMUSG00000091679.8	30.9679834166863	-1.54415414076169	0.224313211540917	-6.88391972168801	5.82276966092474e-12	3.25519115870308e-08	Vmn2r96
ENSMUSG00000107385.3	43.6116973903012	-1.39655892094122	0.225397325280781	-6.19598710500004	5.79208688050515e-10	2.10322258804903e-06	ENSMUSG00000107385
ENSMUSG00000078945.10	487.073083532869	-0.983131583511015	0.179189143301334	-5.48655775343336	4.09841470422525e-08	0.000124018028949856	Naip2
ENSMUSG00000024039.14	59.9434224892318	-1.03259068751165	0.189971351942093	-5.43550739074806	5.46407202349927e-08	0.000141722416655218	Cbs
ENSMUSG00000085261.1	90.1500866954177	-1.08287626934199	0.203972588072812	-5.30893037919114	1.10270440985454e-07	0.000222452236281323	Gm13814
ENSMUSG00000058740.14	58.3317331552176	-0.967938378547092	0.187699732108773	-5.15684475237378	2.51145860986551e-07	0.000414527659279256	Kcnt1
ENSMUSG00000014030.15	42.9237986950745	-1.11468427604158	0.216953609061306	-5.13789229349301	2.77837038210574e-07	0.000417108828323337	Pax5
ENSMUSG00000062170.12	47.8444772434507	-1.15428689281908	0.225257803471056	-5.12429258845809	2.98656905056366e-07	0.000417108828323337	Fmr1nb
ENSMUSG00000042589.18	135.228386891604	-0.897892253371842	0.181914194413586	-4.93580094871796	7.982248774766e-07	0.000966171391697677	Cux2
ENSMUSG00000065999.13	182.218999716328	-0.871115525928102	0.18032991545586	-4.83067672785178	1.36069776182307e-06	0.00154405178522873	Gm13154
ENSMUSG00000034818.16	45.0261553755149	-1.04645257600425	0.219307890994551	-4.77161387699564	1.82755604609535e-06	0.00186500827784049	Celf5
ENSMUSG00000036918.15	2506.39457022155	-0.521408413445685	0.109326762827487	-4.7692660055109	1.84898375198991e-06	0.00186500827784049	Ttc7
ENSMUSG00000057246.14	32.7082327473767	-0.935593967980251	0.196797883775353	-4.75408551165236	1.99346656988038e-06	0.00190491468646043	BC051142
ENSMUSG00000038754.4	67.8499749023719	-1.0644376190414	0.225566457137075	-4.71895348515648	2.37061012274742e-06	0.00215203986943011	Elovl3
ENSMUSG00000045087.8	17.27694443435	-1.02141163411246	0.222690592492576	-4.58668515216469	4.50339029725918e-06	0.00371652519259262	S1pr5
ENSMUSG00000068762.11	118.228930382566	-0.921162525223007	0.202308952108317	-4.55324648575024	5.28243194298663e-06	0.00399615976486938	Gstm6
ENSMUSG00000006567.11	49.4823481745045	-0.784951448016232	0.175511249887791	-4.47237113585637	7.73570174106779e-06	0.00520182965966026	Atp7b
ENSMUSG00000067889.4	28.4219504066686	-0.84080766565924	0.187932168723232	-4.47399543873459	7.67713800539182e-06	0.00520182965966026	Sptbn2
ENSMUSG00000001036.17	5054.81912917073	-0.537223431145932	0.120526504816694	-4.45730532021136	8.2996352672316e-06	0.00538172063970917	Epn2
ENSMUSG00000001999.15	1677.7887513449	-0.587532999822416	0.134338448766429	-4.37352824316102	1.22254419910242e-05	0.00762182382094841	Blvra
ENSMUSG00000032549.7	180.229429689051	-0.867560068508683	0.19866067700341	-4.36704475991387	1.25938926321025e-05	0.00762182382094841	Rab6b
ENSMUSG00000016496.7	823.353786510863	-0.704504549463518	0.16409282613571	-4.29332936761582	1.7601359583505e-05	0.00998657139369117	Cd274
ENSMUSG00000097173.1	7.82961394464625	-0.945938837145333	0.223216496176042	-4.23776402439051	2.25756863064179e-05	0.0124207321387674	Gm26829
ENSMUSG00000099375.1	48.339407414811	-0.923068262653019	0.222034449094913	-4.15732003036355	3.22002761536275e-05	0.0167036632527218	Gm28187
ENSMUSG00000037860.15	194.972274239152	-0.681854971599266	0.165203141081263	-4.12737292485173	3.66931078036522e-05	0.0180054071698138	Aim2
ENSMUSG00000039456.9	2300.99838080741	-0.479109958908262	0.116869911342139	-4.09951503689993	4.14016771715862e-05	0.0193554410882683	Morc3
ENSMUSG00000085337.1	9.36633287855763	-0.922338916098659	0.225616451789825	-4.08808359843312	4.34951422491569e-05	0.0193554410882683	Gm15964
ENSMUSG00000086432.1	18.652365162337	-0.86027849664959	0.21017221844424	-4.09320748012102	4.25446706835148e-05	0.0193554410882683	B430119L08Rik
ENSMUSG00000024331.11	41.1470622315649	-0.872844052299062	0.21649506010989	-4.03170424237864	5.5373844524246e-05	0.0239373219329098	Dsc2
ENSMUSG00000039958.17	1087.45156204932	-0.6561587639773	0.16310032387574	-4.02303777445103	5.74522775432362e-05	0.0242582221180232	Mettl20
ENSMUSG00000026888.14	348.937471000572	-0.803800416793044	0.200491023869601	-4.00915911984086	6.09353472173113e-05	0.0251441400926705	Grb14
ENSMUSG00000048138.9	3645.04117907084	-0.57434696371729	0.14542206951389	-3.94951719252236	7.83089864343916e-05	0.0309082164718003	Dmrt2
ENSMUSG00000078868.3	346.750871590662	-0.610307854172453	0.157159637222296	-3.88336257934469	0.000103021767228306	0.0397970894850453	Gm14412
ENSMUSG00000020916.8	29.5915844769728	-0.867243308631921	0.223798940907068	-3.87510014621579	0.000106580857659514	0.040314209409711	Krt36
ENSMUSG00000062585.11	91.1809864719372	-0.757126712562377	0.196170405233847	-3.85953585434987	0.000113602589150461	0.042093236910526	Cnr2
ENSMUSG00000021268.17	1131.28774296961	-0.695586975562163	0.181882197143679	-3.82438186081884	0.000131100589965279	0.0440789316927703	Meg3
ENSMUSG00000048337.3	11.0623802993714	-0.865431851970228	0.225578160043551	-3.83650550125572	0.000124797401808233	0.0440789316927703	Npy4r
ENSMUSG00000071203.6	105.044483171767	-0.811081796663412	0.211259293394094	-3.83927155881553	0.000123399884709094	0.0440789316927703	Naip5
ENSMUSG00000094786.1	1398.40044794498	-0.523013345916358	0.136732653648087	-3.82508005192712	0.000130729600517999	0.0440789316927703	Gm14403
ENSMUSG00000041696.13	1080.23194259327	-0.607608001697534	0.159966902659752	-3.79833572817191	0.000145670924787533	0.048087296553499	Rasl12
ENSMUSG00000064346.1	82.6624225044118	-0.633205042213546	0.167487885976192	-3.78060203293482	0.0001564495852705	0.0489741150029516	mt-Tw
ENSMUSG00000098202.1	34.5407923831269	-0.854611651763482	0.225600482458812	-3.78816411405286	0.000151764592013283	0.0489741150029516	B830012L14Rik
