	MomD9_23	MomD9_24	MomD9_25	MomD9_26	MomD9_32	MomD9_33	MomD9_34	MomD9_36	MomD9_37	MomD9_38
ENSMUSG00000000001.4	6012	6727	6797	6967	4701	3856	7628	6815	6930	5183
ENSMUSG00000000003.15	2	0	0	0	1	0	0	1	0	0
ENSMUSG00000000028.14	457	431	311	306	371	238	474	337	390	324
ENSMUSG00000000031.15	36	143	56	29	62	42	67	30	36	19
ENSMUSG00000000037.16	59	57	57	60	74	34	77	64	54	45
ENSMUSG00000000049.11	20	6	20	12	20	7	18	12	15	8
ENSMUSG00000000056.7	1442	1329	1096	1149	1071	1203	1628	1296	1807	1195
ENSMUSG00000000058.6	16718	17111	16716	9167	19209	10131	27074	25811	27104	18114
ENSMUSG00000000078.6	26640	25374	27765	19672	10397	5990	20620	20496	16045	13911
ENSMUSG00000000085.16	1242	1276	1182	1807	1312	1364	1417	1290	1680	1209
ENSMUSG00000000088.6	3373	2369	1975	2365	2955	2246	3228	4823	4240	2953
ENSMUSG00000000093.6	467	568	486	598	495	574	733	779	801	622
ENSMUSG00000000094.12	9	13	14	7	7	8	5	5	6	3
ENSMUSG00000000103.12	1	0	0	0	0	0	0	1	0	0
ENSMUSG00000000120.6	2816	929	3508	3264	1908	1865	1369	4114	1085	4531
ENSMUSG00000000125.5	4	3	7	4	2	1	10	5	6	4
ENSMUSG00000000126.11	276	305	314	384	287	437	289	275	420	247
ENSMUSG00000000127.14	3877	4602	4066	4920	3767	2939	4888	3519	4291	3208
ENSMUSG00000000131.15	3445	3214	2699	3410	3029	2709	3668	2978	3335	2644
ENSMUSG00000000134.17	1380	1423	1204	1410	912	792	1242	1377	1245	1077
ENSMUSG00000000142.15	1648	1051	639	1252	642	1285	1770	755	1407	945
ENSMUSG00000000148.17	1421	1127	956	848	1152	984	1666	1336	1522	1145
ENSMUSG00000000149.10	5192	6701	4669	4761	4063	3616	6940	4705	5406	3952
ENSMUSG00000000154.16	298	206	204	199	280	219	304	361	407	246
ENSMUSG00000000157.15	0	0	0	1	0	0	0	0	0	1
ENSMUSG00000000159.15	17	47	7	7	2	6	14	5	5	7
ENSMUSG00000000167.14	46	55	50	51	53	57	97	63	90	50
ENSMUSG00000000168.9	6746	4554	2931	3460	5639	3616	7164	8082	7072	4264
ENSMUSG00000000171.4	4776	3588	3176	3453	4667	3660	5388	7669	7060	4558
ENSMUSG00000000182.9	4	0	1	1	0	0	5	2	0	0
ENSMUSG00000000183.6	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184.12	17819	18044	11091	9949	19051	7329	22296	15970	23136	16022
ENSMUSG00000000194.13	2971	2934	2528	2986	2503	2415	3229	2828	3022	2376
ENSMUSG00000000197.7	16	47	29	32	7	11	14	25	15	11
ENSMUSG00000000202.9	5	2	1	0	1	1	1	1	2	0
ENSMUSG00000000204.15	19	16	46	65	23	47	28	28	40	42
ENSMUSG00000000214.11	0	1	0	0	0	0	0	0	1	4
ENSMUSG00000000215.10	1	1	0	2	0	1	2	0	2	0
ENSMUSG00000000216.8	9	14	22	24	7	7	8	16	6	12
ENSMUSG00000000223.13	119	46	185	161	68	95	83	117	39	168
ENSMUSG00000000244.17	45	96	62	56	42	26	59	33	47	38
ENSMUSG00000000247.11	13	9	15	34	9	22	28	12	19	8
ENSMUSG00000000248.16	42	145	36	15	21	14	46	24	31	16
ENSMUSG00000000253.12	414	456	353	300	364	308	582	483	548	368
ENSMUSG00000000263.15	2	4	3	2	5	5	7	4	7	5
ENSMUSG00000000266.11	2495	2091	1920	1842	2148	1595	2528	2165	2770	2116
ENSMUSG00000000275.16	4030	5379	5652	6360	2322	3641	3596	4348	3372	3683
ENSMUSG00000000276.11	937	906	873	898	913	1425	1279	1237	1545	961
ENSMUSG00000000278.10	1734	2483	1836	1947	1463	1172	1958	1719	2003	1534
ENSMUSG00000000282.12	618	720	642	780	503	611	749	711	725	599
ENSMUSG00000000290.13	826	4237	549	415	316	189	768	313	388	299
ENSMUSG00000000295.12	353	279	287	381	330	330	420	461	513	325
ENSMUSG00000000296.7	77	130	70	82	48	30	101	48	56	47
ENSMUSG00000000301.16	508	385	279	431	383	426	509	537	550	514
ENSMUSG00000000303.12	52	70	4	3	2	6	0	4	4	5
ENSMUSG00000000305.12	48	78	63	99	31	62	50	48	37	28
ENSMUSG00000000308.14	6	11	9	4	3	1	3	0	4	2
ENSMUSG00000000317.11	2088	2913	2569	1955	1703	1305	2570	2144	2001	1421
ENSMUSG00000000318.16	814	2904	1040	645	396	216	669	613	341	418
ENSMUSG00000000320.10	116	88	59	59	63	301	79	122	138	86
ENSMUSG00000000325.15	837	791	640	437	520	468	987	679	958	599
ENSMUSG00000000326.12	14105	11100	12487	8194	14530	7365	20638	15313	21696	11803
ENSMUSG00000000339.14	601	548	463	541	574	504	769	705	718	553
ENSMUSG00000000340.10	3285	2283	2239	3631	2550	2735	3470	4838	4519	2970
ENSMUSG00000000346.8	3226	3230	3007	2882	2794	3017	3556	4045	4217	3182
ENSMUSG00000000355.13	960	982	848	987	1070	741	1448	1296	1324	899
ENSMUSG00000000359.3	331	462	480	404	427	328	613	548	519	323
ENSMUSG00000000365.8	67	67	44	54	68	12	62	69	53	59
ENSMUSG00000000374.7	4106	3821	2963	2985	3164	2539	4856	3797	4054	3073
ENSMUSG00000000378.15	2919	2172	2450	2912	2212	2116	2575	2580	2739	2284
ENSMUSG00000000381.10	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000000384.15	980	944	754	966	788	659	1117	1151	1170	887
ENSMUSG00000000385.7	70	113	1	2	1	2	0	0	1	0
ENSMUSG00000000386.14	13	40	24	31	21	10	26	23	59	21
ENSMUSG00000000392.17	1278	1633	1591	1826	1331	768	1799	1225	1451	1048
ENSMUSG00000000394.15	4	6	0	5	1	0	5	0	7	1
ENSMUSG00000000399.10	4279	2902	2543	2963	3527	2948	4197	6210	5436	3774
ENSMUSG00000000402.2	14	31	38	28	13	4	13	10	7	11
ENSMUSG00000000409.14	48	95	73	77	37	79	91	80	98	69
ENSMUSG00000000411.7	5	0	2	3	4	2	1	2	2	3
ENSMUSG00000000416.16	170	209	195	210	166	159	216	155	183	139
ENSMUSG00000000420.15	4000	4809	4192	4322	3895	2997	5593	4808	5059	3512
ENSMUSG00000000435.1	0	1	0	1	2	0	2	0	0	0
ENSMUSG00000000439.9	1634	1314	1338	1379	1351	1262	1746	1864	1981	1362
ENSMUSG00000000440.12	36190	24267	23807	33140	24572	21575	32758	28222	32742	28265
ENSMUSG00000000441.17	8338	6887	6220	7817	5631	5091	8729	7664	8121	5970
ENSMUSG00000000486.13	70	128	76	51	79	63	133	112	119	64
ENSMUSG00000000489.6	1242	1639	1708	2747	1280	2450	1892	1791	2237	1422
ENSMUSG00000000530.16	2626	3330	3632	4215	2307	2753	3806	3708	3348	2772
ENSMUSG00000000531.4	891	1050	1142	1484	652	1233	995	1157	1059	796
ENSMUSG00000000532.10	2270	1941	1710	2572	1226	1052	2024	1653	1557	1503
ENSMUSG00000000538.18	4585	3842	3795	4566	3748	3507	4334	3767	4592	3408
ENSMUSG00000000544.14	4	6	2	1	1	0	3	1	0	0
ENSMUSG00000000552.9	528	675	368	326	560	404	729	434	591	547
ENSMUSG00000000555.6	1577	3109	2160	1917	1108	998	1664	1255	1171	1115
ENSMUSG00000000560.9	13	27	8	4	6	1	19	22	39	5
ENSMUSG00000000561.14	1	4	2	1	2	2	2	2	2	4
ENSMUSG00000000562.5	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000563.17	7576	5935	4922	5788	6963	4951	8291	10292	9810	6812
ENSMUSG00000000567.5	39	51	38	39	47	29	66	56	83	61
ENSMUSG00000000568.15	2048	2070	2424	2954	1744	1711	2219	2256	2169	1928
ENSMUSG00000000579.14	21	51	27	58	50	55	53	53	77	35
ENSMUSG00000000581.8	783	878	736	790	841	620	1135	1205	1088	774
ENSMUSG00000000594.7	7622	8043	6218	5579	6282	4430	6965	6653	7683	5594
ENSMUSG00000000600.15	2092	1777	2086	2305	1932	1419	2153	2267	2224	1768
ENSMUSG00000000605.8	3477	3394	3071	3188	2773	2087	4173	3824	3864	3041
ENSMUSG00000000606.15	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617.14	25	10	29	3	4	0	4	3	3	0
ENSMUSG00000000627.15	10	21	14	27	7	14	17	23	8	13
ENSMUSG00000000628.10	15299	10310	8606	12249	6818	5948	11270	10007	11293	9333
ENSMUSG00000000631.20	2345	2640	2385	2939	1775	1976	2399	2029	2041	1812
